CIDADE,QUANTIDADE_CRIMES,QUANTIDADE_POPULACAO,CRIMES_POR_100K,IDMH,cod_ibge,cod_ra,reg_administrativa,reg_metropolitanas,ideb2019
Paraguaçu Paulista,79,40894,193.0,0.76,3535507,692,RA de Marília,Demais municípios,4.8
José Bonifácio,77,36889,209.0,0.77,3525706,689,RA de São José do Rio Preto,RM São José do Rio Preto,4.3
Bom Jesus dos Perdões,77,22168,347.0,0.71,3507100,686,RA de Campinas,Demais municípios,4.2
Nazaré Paulista,76,18305,415.0,0.67,3532405,686,RA de Campinas,Demais municípios,4.3
Cerquilho,76,44954,169.0,0.78,3511508,685,RA de Sorocaba,RM de Sorocaba,4.7
Casa Branca,75,28028,268.0,0.73,3510807,686,RA de Campinas,Demais municípios,4.2
Dois Córregos,75,24434,307.0,0.72,3514106,688,RA de Bauru,Demais municípios,4.0
Pitangueiras,74,33478,221.0,0.72,3539509,687,RA de Ribeirão Preto,RM de Ribeirao Preto,4.5
Cândido Mota,74,29339,252.0,0.74,3510005,692,RA de Marília,Demais municípios,4.3
Cajuru,73,23795,307.0,0.71,3509403,687,RA de Ribeirão Preto,RM de Ribeirao Preto,4.0
Piraju,73,29383,248.0,0.75,3538808,696,RA de Itapeva,Demais municípios,5.0
Ilha Solteira,72,25498,282.0,0.81,3520442,690,RA de Araçatuba,Demais municípios,5.0
Rio das Pedras,71,31419,226.0,0.75,3544004,686,RA de Campinas,RM de Piracicaba,4.7
São Miguel Arcanjo,70,32031,219.0,0.71,3550209,685,RA de Sorocaba,RM de Sorocaba,4.3
Iperó,69,37032,186.0,0.71,3521002,685,RA de Sorocaba,RM de Sorocaba,4.2
Monte Aprazível,67,22328,300.0,0.78,3531407,689,RA de São José do Rio Preto,RM São José do Rio Preto,4.3
Guapiaçu,67,21976,305.0,0.72,3517505,689,RA de São José do Rio Preto,RM São José do Rio Preto,4.8
Bariri,65,31570,206.0,0.75,3505203,688,RA de Bauru,Demais municípios,4.8
Piracaia,64,26070,245.0,0.73,3538600,686,RA de Campinas,Demais municípios,4.6
Iracemápolis,64,22070,290.0,0.77,3521408,686,RA de Campinas,RM de Piracicaba,4.9
Itaí,64,25226,254.0,0.71,3521804,696,RA de Itapeva,Demais municípios,4.5
Potirendaba,63,18720,337.0,0.74,3540804,689,RA de São José do Rio Preto,RM São José do Rio Preto,4.8
Taquarituba,62,24452,254.0,0.7,3553807,696,RA de Itapeva,Demais municípios,5.0
Américo Brasiliense,62,32753,189.0,0.75,3501707,693,RA Central,Demais municípios,4.5
Tanabi,62,25349,245.0,0.74,3553401,689,RA de São José do Rio Preto,RM São José do Rio Preto,4.9
Alumínio,62,17277,359.0,0.76,3501152,685,RA de Sorocaba,RM de Sorocaba,5.0
Aguaí,62,32025,194.0,0.71,3500303,686,RA de Campinas,Demais municípios,4.7
Colina,61,18553,329.0,0.75,3512001,694,RA de Barretos,Demais municípios,4.4
Pilar do Sul,60,27616,217.0,0.69,3537909,685,RA de Sorocaba,RM de Sorocaba,5.1
Brotas,60,24033,250.0,0.74,3507902,686,RA de Campinas,Demais municípios,4.4
Pradópolis,59,16992,347.0,0.73,3540903,687,RA de Ribeirão Preto,RM de Ribeirao Preto,5.2
Guará,58,18441,315.0,0.71,3517703,695,RA de Franca,Demais municípios,4.1
Teodoro Sampaio,57,22114,258.0,0.74,3554300,691,RA de Presidente Prudente,Demais municípios,4.9
Igaraçu do Tietê,57,23025,248.0,0.72,3520004,688,RA de Bauru,Demais municípios,4.1
Serra Negra,56,30031,186.0,0.76,3551603,686,RA de Campinas,Demais municípios,4.5
Brodowski,55,25458,216.0,0.75,3507803,687,RA de Ribeirão Preto,RM de Ribeirao Preto,4.1
Tambaú,54,21331,253.0,0.73,3553302,686,RA de Campinas,RM de Ribeirao Preto,4.3
Ilha Comprida,53,13733,386.0,0.72,3520426,682,RA de Registro,Demais municípios,4.9
Patrocínio Paulista,53,14584,363.0,0.73,3536307,695,RA de Franca,Demais municípios,4.3
Viradouro,52,17395,299.0,0.73,3556800,694,RA de Barretos,Demais municípios,4.3
Palmital,52,19438,268.0,0.74,3535309,692,RA de Marília,Demais municípios,4.3
Adamantina,52,34706,150.0,0.79,3500105,691,RA de Presidente Prudente,Demais municípios,4.9
Estiva Gerbi,52,11359,458.0,0.74,3557303,686,RA de Campinas,Demais municípios,0.0
Rancharia,52,28496,182.0,0.75,3542206,691,RA de Presidente Prudente,Demais municípios,4.7
Buritama,52,17311,300.0,0.76,3508108,690,RA de Araçatuba,Demais municípios,4.8
Barra Bonita,51,34183,149.0,0.78,3505302,688,RA de Bauru,Demais municípios,5.4
Igaratá,51,10721,476.0,0.71,3520202,684,RA de São José dos Campos,RM do Vale do Paraiba e Litoral Norte,4.0
Angatuba,51,24113,212.0,0.71,3502200,696,RA de Itapeva,Demais municípios,5.1
Biritiba Mirim,50,29689,168.0,0.71,3506607,681,RM  de São Paulo,RM de Sao Paulo,4.3
Tabapuã,49,11302,434.0,0.73,3552601,689,RA de São José do Rio Preto,Demais municípios,4.7
Guararapes,48,30926,155.0,0.76,3518206,690,RA de Araçatuba,Demais municípios,4.9
Macatuba,48,16808,286.0,0.77,3528007,688,RA de Bauru,Demais municípios,5.1
Cesário Lange,47,19306,243.0,0.7,3511607,685,RA de Sorocaba,RM de Sorocaba,4.1
Presidente Venceslau,47,34834,135.0,0.76,3541505,691,RA de Presidente Prudente,Demais municípios,4.9
Itariri,46,15501,297.0,0.67,3523305,682,RA de Registro,Demais municípios,4.2
Itirapina,44,16187,272.0,0.72,3523602,686,RA de Campinas,Demais municípios,4.9
Guaiçara,44,11262,391.0,0.73,3517208,688,RA de Bauru,Demais municípios,4.2
Holambra,44,15389,286.0,0.79,3519055,686,RA de Campinas,RM de Campinas,4.7
Pereira Barreto,43,23953,180.0,0.76,3537404,690,RA de Araçatuba,Demais municípios,4.9
Vargem,42,10621,395.0,0.69,3556354,686,RA de Campinas,Demais municípios,0.0
Nova Granada,42,19401,216.0,0.73,3533007,689,RA de São José do Rio Preto,RM São José do Rio Preto,3.8
Pirapora do Bom Jesus,41,18549,221.0,0.72,3539103,681,RM  de São Paulo,RM de Sao Paulo,4.0
Valparaíso,41,24284,169.0,0.72,3556305,690,RA de Araçatuba,Demais municípios,4.4
Castilho,41,20080,204.0,0.73,3511003,690,RA de Araçatuba,Demais municípios,4.6
Engenheiro Coelho,40,19858,201.0,0.73,3515152,686,RA de Campinas,RM de Campinas,4.2
Morungaba,40,13897,288.0,0.71,3532009,686,RA de Campinas,RM de Campinas,4.2
Cerqueira César,40,21732,184.0,0.72,3511409,685,RA de Sorocaba,Demais municípios,4.4
Buri,40,20336,197.0,0.66,3508009,696,RA de Itapeva,Demais municípios,4.5
Mirandópolis,39,27927,140.0,0.75,3530102,690,RA de Araçatuba,Demais municípios,4.6
Pirapozinho,39,25302,154.0,0.77,3539202,691,RA de Presidente Prudente,Demais municípios,4.9
Ipuã,38,14445,263.0,0.74,3521309,695,RA de Franca,Demais municípios,4.2
Capela do Alto,38,23248,163.0,0.69,3510302,685,RA de Sorocaba,RM de Sorocaba,4.5
Paraibuna,38,17666,215.0,0.71,3535606,684,RA de São José dos Campos,RM do Vale do Paraiba e Litoral Norte,4.6
Águas de Lindóia,37,17937,206.0,0.74,3500501,686,RA de Campinas,Demais municípios,5.0
São Simão,37,13313,278.0,0.76,3550902,687,RA de Ribeirão Preto,RM de Ribeirao Preto,4.9
Fartura,37,16682,222.0,0.73,3515400,696,RA de Itapeva,Demais municípios,5.3
Pariquera-Açu,37,19252,192.0,0.73,3536208,682,RA de Registro,Demais municípios,4.3
Avanhandava,37,11222,330.0,0.7,3504404,690,RA de Araçatuba,Demais municípios,4.5
Piratininga,36,15328,235.0,0.77,3539400,688,RA de Bauru,Demais municípios,3.9
Guapiara,36,16927,213.0,0.67,3517604,696,RA de Itapeva,Demais municípios,4.4
Elias Fausto,36,17817,202.0,0.69,3514908,686,RA de Campinas,RM de Piracicaba,4.6
Porangaba,36,10588,340.0,0.7,3540507,685,RA de Sorocaba,Demais municípios,4.7
Conchas,35,15105,232.0,0.73,3512308,685,RA de Sorocaba,Demais municípios,4.2
Cafelândia,35,16614,211.0,0.74,3508801,688,RA de Bauru,Demais municípios,4.2
Restinga,35,6355,551.0,0.7,3542701,695,RA de Franca,Demais municípios,3.5
